"ano";"tipo";"razon_social";"nombre_establecimiento";"rubro_retc";"region";"comuna";"capitulo_ler";"subcapitulo_ler";"nombre_ler";"tratamiento";"valorizacion_eliminacion";"cantidad_toneladas";"declaracion_estimacion";"establecimiento_destinatario";"comuna_destinatario"
"2017";"Municipio";"MUNICIPALIDAD DE LAMPA";"MUNICIPALIDAD DE LAMPA";NA;"Metropolitana de Santiago";"Lampa";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Co-procesamiento";"Valorización";6,58;"Declaración";"COACTIVA";"Las Condes"
"2017";"Municipio";"MUNICIPALIDAD DE ISLA DE PASCUA";"MUNICIPALIDAD DE ISLA DE PASCUA";NA;"Valparaíso";"Isla de Pascua";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Otras fracciones no especificadas en otra categoría";"Co-procesamiento";"Valorización";1,2;"Declaración";"CEMENTO MELÓN PLANTA LA CALERA";"Las Condes"
"2017";"Municipio";"MUNICIPALIDAD DE HIJUELAS";"MUNICIPALIDAD DE HIJUELAS";NA;"Valparaíso";"Hijuelas";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Co-procesamiento";"Valorización";1,63;"Declaración";"COACTIVA";"Las Condes"
"2017";"Municipio";"MUNICIPALIDAD DE PICHIDEGUA";"MUNICIPALIDAD DE PICHIDEGUA";NA;"Libertador Gral. Bernardo O'Higgins";"Pichidegua";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Co-procesamiento";"Valorización";3,15;"Declaración";"VERALLIA CHILE SA";"Rengo"
"2017";"Municipio";"MUNICIPALIDAD DE PALMILLA";"MUNICIPALIDAD DE PALMILLA";NA;"Libertador Gral. Bernardo O'Higgins";"Palmilla";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Co-procesamiento";"Valorización";1,22;"Declaración";"COACTIVA";"Las Condes"
"2017";"Municipio";"MUNICIPALIDAD DE VINA DEL MAR";"MUNICIPALIDAD DE VIÑA DEL MAR";NA;"Valparaíso";"Viña del Mar";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Otras fracciones no especificadas en otra categoría";"Co-procesamiento";"Valorización";8,24;"Declaración";"CEMENTO MELÓN PLANTA LA CALERA";"Las Condes"
"2017";"Municipio";"MUNICIPALIDAD DE PADRE HURTADO";"MUNICIPALIDAD DE PADRE HURTADO";NA;"Metropolitana de Santiago";"Padre Hurtado";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Co-procesamiento";"Valorización";0,499;"Declaración";"COACTIVA";"Las Condes"
"2017";"Municipio";"MUNICIPALIDAD DE CALERA DE TANGO";"MUNICIPALIDAD DE CALERA DE TANGO";NA;"Metropolitana de Santiago";"Calera de Tango";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Co-procesamiento";"Valorización";1,48;"Declaración";"PLANTA POLPAICO - TIL TIL";"Las Condes"
"2017";"Municipio";"MUNICIPALIDAD DE RENGO";"MUNICIPALIDAD DE RENGO";NA;"Libertador Gral. Bernardo O'Higgins";"Rengo";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Co-procesamiento";"Valorización";30099;"Declaración";"VERALLIA CHILE SA";"Rengo"
"2017";"Municipio";"MUNICIPALIDAD DE PARRAL";"MUNICIPALIDAD DE PARRAL";NA;"Maule";"Parral";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Co-procesamiento";"Valorización";5,69;"Declaración";"COACTIVA";"Las Condes"
"2017";"Municipio";"MUNICIPALIDAD DE SALAMANCA";"MUNICIPALIDAD DE SALAMANCA";NA;"Coquimbo";"Salamanca";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Co-procesamiento";"Valorización";1,06;"Declaración";"PLANTA POLPAICO - TIL TIL";"Las Condes"
"2017";"Municipio";"MUNICIPALIDAD DE JUAN FERNANDEZ";"MUNICIPALIDAD DE JUAN FERNÁNDEZ";NA;"Valparaíso";"Juan Fernández";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Incineración sin recuperación de energía";"Eliminación";300;"Declaración";NA;NA
"2017";"Municipio";"MUNICIPALIDAD DE TALCAHUANO";"MUNICIPALIDAD DE TALCAHUANO";NA;"Bío-Bío";"Talcahuano";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Madera distinta de la especificada en el código 20 01 37";"Incineración con recuperación de energía";"Valorización";555,86;"Declaración";NA;NA
"2018";"Municipio";"MUNICIPALIDAD DE LAMPA";"MUNICIPALIDAD DE LAMPA";"Municipio";"Metropolitana de Santiago";"Lampa";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Co-procesamiento";"Valorización";3,14;"Declaración";"COACTIVA";"Tiltil"
"2018";"Municipio";"MUNICIPALIDAD DE PADRE HURTADO";"MUNICIPALIDAD DE PADRE HURTADO";"Municipio";"Metropolitana de Santiago";"Padre Hurtado";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Lodos de fosas sépticas";"Co-procesamiento";"Valorización";1519,6;"Declaración";"PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS MAPOCHO TREBAL";"Padre Hurtado"
"2018";"Municipio";"MUNICIPALIDAD DE LAMPA";"MUNICIPALIDAD DE LAMPA";"Municipio";"Metropolitana de Santiago";"Lampa";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Lodos de fosas sépticas";"Co-procesamiento";"Valorización";10,74;"Declaración";"PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS MAPOCHO TREBAL";"Padre Hurtado"
"2018";"Municipio";"MUNICIPALIDAD DE TEMUCO";"MUNICIPALIDAD DE TEMUCO";"Municipio";"Araucanía";"Temuco";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Otras fracciones no especificadas en otra categoría";"Co-procesamiento";"Valorización";39;"Declaración";"CEMENTO MELÓN PLANTA LA CALERA";"Calera"
"2018";"Municipio";"MUNICIPALIDAD DE JUAN FERNÁNDEZ";"MUNICIPALIDAD DE JUAN FERNANDEZ";NA;"Valparaíso";"Juan Fernández";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Incineración sin recuperación de energía";"Eliminación";217;"Declaración";NA;NA
"2018";"Municipio";"MUNICIPALIDAD DE JUAN FERNÁNDEZ";"MUNICIPALIDAD DE JUAN FERNANDEZ";NA;"Valparaíso";"Juan Fernández";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Madera distinta de la especificada en el código 20 01 37";"Incineración sin recuperación de energía";"Eliminación";5;"Declaración";NA;NA
"2018";"Municipio";"MUNICIPALIDAD DE JUAN FERNÁNDEZ";"MUNICIPALIDAD DE JUAN FERNANDEZ";NA;"Valparaíso";"Juan Fernández";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Residuos de parques y jardines (incluidos los residuos de cementerios)";"Residuos biodegradables";"Incineración sin recuperación de energía";"Eliminación";0,75;"Declaración";NA;NA
"2018";"Municipio";"MUNICIPALIDAD DE VIÑA DEL MAR";"MUNICIPALIDAD DE VINA DEL MAR";"Municipio";"Valparaíso";"Viña del Mar";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Otras fracciones no especificadas en otra categoría";"Co-procesamiento";"Valorización";3,76;"Declaración";"CEMENTO MELÓN PLANTA LA CALERA";"Calera"
"2018";"Municipio";"MUNICIPALIDAD DE RENGO";"MUNICIPALIDAD DE RENGO";NA;"Libertador Gral. Bernardo O'Higgins";"Rengo";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Co-procesamiento";"Valorización";41,5;"Declaración";"VERALLIA CHILE SA";"Rengo"
"2018";"Municipio";"MUNICIPALIDAD DE TILTIL";"MUNICIPALIDAD DE TILTIL";"Municipio";"Metropolitana de Santiago";"Tiltil";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Co-procesamiento";"Valorización";0,78;"Declaración";"COACTIVA";"Tiltil"
"2019";"Municipio";"MUNICIPALIDAD DE ALHUE";"MUNICIPALIDAD DE ALHUÉ";"Otras actividades";"Metropolitana de Santiago";"Alhué";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Co-procesamiento";"Valorización";1,17;"Declaración";"COACTIVA";"Tiltil"
"2019";"Municipio";"MUNICIPALIDAD DE MARÍA PINTO";"MUNICIPALIDAD DE MARÍA PINTO";"Otras actividades";"Metropolitana de Santiago";"María Pinto";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Otras fracciones no especificadas en otra categoría";"Co-procesamiento";"Valorización";1,05;"Declaración";"PLANTA POLPAICO - TIL TIL";"Tiltil"
"2019";"Municipio";"MUNICIPALIDAD DE PADRE HURTADO";"MUNICIPALIDAD DE PADRE HURTADO";"Otras actividades";"Metropolitana de Santiago";"Padre Hurtado";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Lodos de fosas sépticas";"Co-procesamiento";"Valorización";2702,05;"Declaración";"PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS MAPOCHO TREBAL";"Padre Hurtado"
"2019";"Municipio";"MUNICIPALIDAD DE LAMPA";"MUNICIPALIDAD DE LAMPA";"Otras actividades";"Metropolitana de Santiago";"Lampa";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Lodos de fosas sépticas";"Co-procesamiento";"Valorización";10743,42;"Declaración";"PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS MAPOCHO TREBAL";"Padre Hurtado"
"2019";"Municipio";"MUNICIPALIDAD DE ISLA DE MAIPO";"MUNICIPALIDAD DE ISLA DE MAIPO";"Otras actividades";"Metropolitana de Santiago";"Isla de Maipo";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Co-procesamiento";"Valorización";1,73;"Declaración";"COACTIVA";"Tiltil"
"2019";"Municipio";"MUNICIPALIDAD DE RENGO";"MUNICIPALIDAD DE RENGO";"Gestores de residuos";"Libertador Gral. Bernardo O'Higgins";"Rengo";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Co-procesamiento";"Valorización";76;"Declaración";"VERALLIA CHILE SA";"Rengo"
"2019";"Municipio";"MUNICIPALIDAD DE PARRAL";"MUNICIPALIDAD DE PARRAL";"Otras actividades";"Maule";"Parral";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Co-procesamiento";"Valorización";2,24;"Declaración";"COACTIVA";"Tiltil"
"2020";"Municipio";"MUNICIPALIDAD DE VINA DEL MAR";"MUNICIPALIDAD DE VIÑA DEL MAR";NA;"Valparaíso";"Viña del Mar";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Otras fracciones no especificadas en otra categoría";"Co-procesamiento";NA;0,38;"Declaración";"Destinatario Final";"Quilpué"
"2020";"Municipio";"MUNICIPALIDAD DE VINA DEL MAR";"MUNICIPALIDAD DE VIÑA DEL MAR";NA;"Valparaíso";"Viña del Mar";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Otras fracciones no especificadas en otra categoría";"Incineración con recuperación de energía";NA;5,97;"Declaración";"CEMENTO MELÓN PLANTA LA CALERA";"Calera"
"2020";"Municipio";"MUNICIPALIDAD DE DOÑIHUE";"MUNICIPALIDAD DE DOÑIHUE";NA;"Libertador Gral. Bernardo O'Higgins";"Doñihue";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Incineración con recuperación de energía";NA;1,66;"Declaración";"PLANTA CERRO BLANCO  - TIL TIL";"Tiltil"
"2020";"Municipio";"MUNICIPALIDAD DE PARRAL";"MUNICIPALIDAD DE PARRAL";NA;"Maule";"Parral";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Plásticos";"Co-procesamiento";NA;3,139;"Declaración";"RECICLAJE CICLO VERDE LTDA";"Curicó"
"2017";"Generador Industrial";"LABORATORIO DURANDIN S A I";"LAB. DURANDIN S.A.";"Otras actividades";"Metropolitana de Santiago";"Santiago";"Residuos de procesos químicos orgánicos";"Residuos de la FFDU de grasas, jabones, detergentes, desinfectantes y cosméticos";"Residuos no especificados en otra categoría";"Co-procesamiento";"Valorización";62,33;NA;"COACTIVA";"Las Condes"
"2017";"Generador Industrial";"VALBIFRUT S A";"VALBIFRUT SA";"Industria agropecuaria y silvicultura";"Metropolitana de Santiago";"Buin";"Residuos de la agricultura, horticultura, acuicultura, silvicultura, caza y pesca; residuos de la preparación y elaboración de alimentos";"Residuos de la preparación y elaboración de frutas, hortalizas, cereales, aceites comestibles, cacao, café, té y tabaco; producción de conservas; producción de levadura y extracto de levadura, preparación y fermentación de melazas";"Residuos no especificados en otra categoría";"Co-procesamiento";"Valorización";274,28;NA;"COACTIVA";"Las Condes"
"2017";"Generador Industrial";"COSMETICOS AVON S A";"COSMETICOS AVON S A";"Industria manufacturera";"Metropolitana de Santiago";"Quilicura";"Residuos no especificados en otro capítulo de la lista";"Lotes de productos fuera de especificación y productos no utilizados";"Residuos inorgánicos distintos de los especificados en el código 16 03 03";"Co-procesamiento";"Valorización";82,65;NA;"COACTIVA";"Las Condes"
"2017";"Generador Industrial";"FARMACEUTICA CARIBEAN LTDA";"FARMACEUTICA CARIBEAN LIMITADA";"Comercio";"Metropolitana de Santiago";"Renca";"Residuos de servicios médicos o veterinarios o de investigación asociada (salvo los residuos de cocina y de restaurante no procedentes directamente de la prestación de cuidados sanitarios)";"Residuos de la investigación, diagnóstico, tratamiento o prevención de enfermedades de animales";"Residuos cuya recogida y eliminación no es objeto de requisitos especiales para prevenir infecciones";"Co-procesamiento";"Valorización";0,15;NA;"COACTIVA";"Las Condes"
"2017";"Generador Industrial";"VINA SAN PEDRO TARAPACA S.A.";"VIÑA SAN PEDRO TARAPACÁ SA";"Industria agropecuaria y silvicultura";"Maule";"Molina";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Vidrio";"Co-procesamiento";"Valorización";434,44;NA;"VERALLIA CHILE SA";"Rengo"
"2017";"Generador Industrial";"B BRAUN MEDICAL SPA";"B BRAUN MEDICAL SPA.";"Otras actividades";"Metropolitana de Santiago";"San Bernardo";"Residuos no especificados en otro capítulo de la lista";"Lotes de productos fuera de especificación y productos no utilizados";"Residuos inorgánicos distintos de los especificados en el código 16 03 03";"Co-procesamiento";"Valorización";39,92;NA;NA;NA
"2017";"Generador Industrial";"SOC COMERCIAL DEGRAF LIMITADA";"DEGRAF LTDA";"Gestores de residuos";"Metropolitana de Santiago";"Quilicura";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapítulo 15 01)";"Pinturas, tintas, adhesivos y resinas distintos de los especificados en el código 20 01 27";"Co-procesamiento";"Valorización";1,12;NA;"COACTIVA";"Las Condes"
"2017";"Generador Industrial";"FARMACIAS CRUZ VERDE S A";"CRUZ VERDE ELIMINACION DE RESIDUOS";"Comercio";"Metropolitana de Santiago";"Macul";"Residuos no especificados en otro capítulo de la lista";"Lotes de productos fuera de especificación y productos no utilizados";"Residuos orgánicos distintos de los especificados en el código 16 03 05";"Co-procesamiento";"Valorización";1,31;NA;"PLANTA POLPAICO - TIL TIL";"Las Condes"
"2017";"Generador Industrial";"FARMACIAS CRUZ VERDE S A";"CRUZ VERDE ELIMINACION DE RESIDUOS";"Comercio";"Metropolitana de Santiago";"Macul";"Residuos no especificados en otro capítulo de la lista";"Lotes de productos fuera de especificación y productos no utilizados";"Residuos inorgánicos distintos de los especificados en el código 16 03 03";"Co-procesamiento";"Valorización";3,91;NA;"PLANTA POLPAICO - TIL TIL";"Las Condes"
"2017";"Generador Industrial";"CELULOSA ARAUCO Y CONSTITUCION S A";"PLANTA ARAUCO";"Industria del papel y celulosa";"Bío-Bío";"Arauco";"Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón";"Residuos de la producción y transformación de pasta de papel, papel y cartón";"Residuos no especificados en otra categoría";"Co-procesamiento";"Valorización";334,4;NA;"CEMENTOS BIO BIO DEL SUR SA";"Talcahuano"
"2017";"Generador Industrial";"AVERY DENNISON CHILE S A";"AVERY DENNISON CHILE SA";"Comercio";"Metropolitana de Santiago";"Pudahuel";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Residuos municipales no especificados en otra categoría";"Co-procesamiento";"Valorización";5,15;NA;"COACTIVA";"Las Condes"
"2017";"Generador Industrial";"AVERY DENNISON CHILE S A";"AVERY DENNISON CHILE SA";"Comercio";"Metropolitana de Santiago";"Pudahuel";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Residuos municipales no especificados en otra categoría";"Co-procesamiento";"Valorización";5,26;NA;"COACTIVA";"Las Condes"
"2017";"Generador Industrial";"AVERY DENNISON CHILE S A";"AVERY DENNISON CHILE SA";"Comercio";"Metropolitana de Santiago";"Pudahuel";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Residuos municipales no especificados en otra categoría";"Co-procesamiento";"Valorización";4,29;NA;"COACTIVA";"Las Condes"
"2017";"Generador Industrial";"VINA SANTA CAROLINA S.A.";"VIÑA SANTA CAROLINA";"Industria agropecuaria y silvicultura";"Metropolitana de Santiago";"Macul";"Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría";"Envases (incluidos los residuos de envases de la recogida selectiva municipal)";"Envases de vidrio";"Co-procesamiento";"Valorización";203,125;NA;"VERALLIA CHILE SA";"Rengo"
"2017";"Generador Industrial";"NATURA COSMETICOS S A";"CD";"Comercio";"Metropolitana de Santiago";"Pudahuel";"Residuos municipales (residuos domésticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Co-procesamiento";"Valorización";70,87;NA;"COACTIVA";"Las Condes"
"2017";"Generador Industrial";"COAGRA S A";"SUCURSAL COAGRA ROSARIO";"Industria agropecuaria y silvicultura";"Libertador Gral. Bernardo O'Higgins";"Rengo";"Residuos de envases; absorbentes, trapos de limpieza, materiales de filtración y ropas de protección no especificados en otra categoría";"Envases (incluidos los residuos de envases de la recogida selectiva municipal)";"Envases de plástico";"Co-procesamiento";"Valorización";19,64;NA;"COACTIVA";"Las Condes"
"2017";"Generador Industrial";"CMPC CELULOSA S A";"CMPC CELULOSA PLANTA LAJA";"Industria del papel y celulosa";"Bío-Bío";"Laja";"Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón";"Residuos de la producción y transformación de pasta de papel, papel y cartón";"Residuos no especificados en otra categoría";"Co-procesamiento";"Valorización";17501;NA;NA;NA
"2017";"Generador Industrial";"CORRUPAC SA";"VERDENOVA S A";"Otras actividades";"Metropolitana de Santiago";"Pudahuel";"Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón";"Residuos de la producción y transformación de pasta de papel, papel y cartón";"Residuos procedentes de la clasificación de papel y cartón destinados al reciclado";"Co-procesamiento";"Valorización";15,95;NA;"COMPANIA PAPELERA PACIFICO";"Mostazal"
"2017";"Generador Industrial";"CORRUPAC SA";"VERDENOVA S A";"Otras actividades";"Metropolitana de Santiago";"Pudahuel";"Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón";"Residuos de la producción y transformación de pasta de papel, papel y cartón";"Residuos procedentes de la clasificación de papel y cartón destinados al reciclado";"Co-procesamiento";"Valorización";16,15;NA;"COMPANIA PAPELERA PACIFICO";"Mostazal"
"2017";"Generador Industrial";"CORRUPAC SA";"VERDENOVA S A";"Otras actividades";"Metropolitana de Santiago";"Pudahuel";"Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón";"Residuos de la producción y transformación de pasta de papel, papel y cartón";"Residuos procedentes de la clasificación de papel y cartón destinados al reciclado";"Co-procesamiento";"Valorización";16,05;NA;"COMPANIA PAPELERA PACIFICO";"Mostazal"
"2017";"Generador Industrial";"CORRUPAC SA";"VERDENOVA S A";"Otras actividades";"Metropolitana de Santiago";"Pudahuel";"Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón";"Residuos de la producción y transformación de pasta de papel, papel y cartón";"Residuos procedentes de la clasificación de papel y cartón destinados al reciclado";"Co-procesamiento";"Valorización";17,49;NA;"COMPANIA PAPELERA PACIFICO";"Mostazal"
"2017";"Generador Industrial";"CORRUPAC SA";"VERDENOVA S A";"Otras actividades";"Metropolitana de Santiago";"Pudahuel";"Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón";"Residuos de la producción y transformación de pasta de papel, papel y cartón";"Residuos procedentes de la clasificación de papel y cartón destinados al reciclado";"Co-procesamiento";"Valorización";15,1;NA;"COMPANIA PAPELERA PACIFICO";"Mostazal"
"2017";"Generador Industrial";"CORRUPAC SA";"VERDENOVA S A";"Otras actividades";"Metropolitana de Santiago";"Pudahuel";"Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón";"Residuos de la producción y transformación de pasta de papel, papel y cartón";"Residuos procedentes de la clasificación de papel y cartón destinados al reciclado";"Co-procesamiento";"Valorización";19,98;NA;"COMPANIA PAPELERA PACIFICO";"Mostazal"
"2017";"Generador Industrial";"CORRUPAC SA";"VERDENOVA S A";"Otras actividades";"Metropolitana de Santiago";"Pudahuel";"Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón";"Residuos de la producción y transformación de pasta de papel, papel y cartón";"Residuos procedentes de la clasificación de papel y cartón destinados al reciclado";"Co-procesamiento";"Valorización";16,89;NA;"COMPANIA PAPELERA PACIFICO";"Mostazal"
"2017";"Generador Industrial";"CORRUPAC SA";"VERDENOVA S A";"Otras actividades";"Metropolitana de Santiago";"Pudahuel";"Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón";"Residuos de la producción y transformación de pasta de papel, papel y cartón";"Residuos procedentes de la clasificación de papel y cartón destinados al reciclado";"Co-procesamiento";"Valorización";18,21;NA;"COMPANIA PAPELERA PACIFICO";"Mostazal"
"2017";"Generador Industrial";"CORRUPAC SA";"VERDENOVA S A";"Otras actividades";"Metropolitana de Santiago";"Pudahuel";"Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón";"Residuos de la producción y transformación de pasta de papel, papel y cartón";"Residuos procedentes de la clasificación de papel y cartón destinados al reciclado";"Co-procesamiento";"Valorización";17,63;NA;"COMPANIA PAPELERA PACIFICO";"Mostazal"
"2017";"Generador Industrial";"CORRUPAC SA";"VERDENOVA S A";"Otras actividades";"Metropolitana de Santiago";"Pudahuel";"Residuos de la transformación de la madera y de la producción de tableros y muebles, pasta de papel, papel y cartón";"Residuos de la producción y transformación de pasta de papel, papel y cartón";"Residuos procedentes de la clasificación de papel y cartón destinados al reciclado";"Co-procesamiento";"Valorización";18,22;NA;"COMPANIA PAPELERA PACIFICO";"Mostazal"
