"ano";"tipo";"razon_social";"nombre_establecimiento";"rubro_retc";"region";"comuna";"capitulo_ler";"subcapitulo_ler";"nombre_ler";"tratamiento";"valorizacion_eliminacion";"cantidad_toneladas";"declaracion_estimacion";"establecimiento_destinatario";"comuna_destinatario"
"2018";"Generador Industrial";"LABORATORIO DURANDIN S A I";"LAB. DURANDIN S.A.";"Otras actividades";"Metropolitana de Santiago";"Santiago";"Residuos de procesos quÃ­micos orgÃ¡nicos";"Residuos de la FFDU de grasas, jabones, detergentes, desinfectantes y cosmÃ©ticos";"Residuos no especificados en otra categoría";"Co-procesamiento";"Valorización";14,3;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"PROCTER & GAMBLE CHILE LIMITADA";"PROCTER AND GAMBLE CHILE LTDA";"Industria del papel y celulosa";"Metropolitana de Santiago";"Macul";"Residuos municipales (residuos domÃ©sticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Co-procesamiento";"Valorización";3,146;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"PROCTER & GAMBLE CHILE LIMITADA";"PROCTER AND GAMBLE CHILE LTDA";"Industria del papel y celulosa";"Metropolitana de Santiago";"Macul";"Residuos de la construcciÃ³n y demoliciÃ³n (incluida la tierra excavada de zonas contaminadas)";"Madera, vidrio y plÃ¡stico";"Madera";"Co-procesamiento";"Valorización";0,08;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"PROCTER & GAMBLE CHILE LIMITADA";"PROCTER AND GAMBLE CHILE LTDA";"Industria del papel y celulosa";"Metropolitana de Santiago";"Macul";"Residuos municipales (residuos domÃ©sticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Co-procesamiento";"Valorización";8,91;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"BESTPHARMA S A";"CERRO PORTEZUELO 9870";"Producción química";"Metropolitana de Santiago";"Quilicura";"Residuos de procesos quÃ­micos orgÃ¡nicos";"Residuos de la FFDU de productos farmacÃ©uticos";"Residuos no especificados en otra categoría";"Co-procesamiento";"Valorización";19,97;NA;"PLANTA POLPAICO - TIL TIL";"Tiltil"
"2018";"Generador Industrial";"BEIERSDORF S A";"BEIERSDORF S.A.";"Industria manufacturera";"Metropolitana de Santiago";"Lo Espejo";"Residuos municipales (residuos domÃ©sticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapÃ­tulo 15 01)";"Otras fracciones no especificadas en otra categoría";"Co-procesamiento";"Valorización";1,29;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"PROCTER & GAMBLE CHILE LIMITADA";"PROCTER AND GAMBLE CHILE LTDA";"Industria del papel y celulosa";"Metropolitana de Santiago";"Macul";"Residuos municipales (residuos domÃ©sticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Co-procesamiento";"Valorización";8,95;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"PROCTER & GAMBLE CHILE LIMITADA";"PROCTER AND GAMBLE CHILE LTDA";"Industria del papel y celulosa";"Metropolitana de Santiago";"Macul";"Residuos municipales (residuos domÃ©sticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Co-procesamiento";"Valorización";5,503;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"BEIERSDORF S A";"BEIERSDORF S.A.";"Industria manufacturera";"Metropolitana de Santiago";"Lo Espejo";"Residuos municipales (residuos domÃ©sticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapÃ­tulo 15 01)";"Otras fracciones no especificadas en otra categoría";"Co-procesamiento";"Valorización";1,71;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"UNILEVER CHILE SCC LIMITADA";"UNILEVER CHILE SA PLANTA PANAMERICANA NORTE";"Producción de alimentos";"Metropolitana de Santiago";"Conchalí";"Residuos de envases; absorbentes, trapos de limpieza, materiales de filtraciÃ³n y ropas de protecciÃ³n no especificados en otra categorÃ­a";"Envases (incluidos los residuos de envases de la recogida selectiva municipal)";"Envases compuestos";"Co-procesamiento";"Valorización";1,85;NA;"COACTIVA";"Tiltil"
